id,full_name,team_abbreviation,position
1630175,Cole Anthony,MEM,Unknown
1642379,Taran Armstrong,GSW,Unknown
1630542,Marcus Bagley,,Unknown
1628366,Lonzo Ball,CHI,Unknown
1630625,Dalano Banton,POR,Unknown
1629646,Charles Bassey,SAS,Unknown
1641734,Emoni Bates,CLE,Unknown
1641878,Damion Baugh,CHA,Unknown
1627736,Malik Beasley,DET,Unknown
1641736,Reece Beekman,BKN,Unknown
1629626,Bol Bol,PHX,Unknown
1630527,Brandon Boston,NOP,Unknown
1628449,Chris Boucher,TOR,Unknown
1628396,Tony Bradley,IND,Unknown
1631103,Malaki Branham,SAS,Unknown
1641779,Jalen Bridges,PHX,Unknown
1629052,Oshae Brissett,,Unknown
1627763,Malcolm Brogdon,WAS,Unknown
1631232,Keion Brooks Jr.,NOP,Unknown
1629650,Moses Brown,,Unknown
202692,Alec Burks,MIA,Unknown
1630215,Jared Butler,PHI,Unknown
1630618,D.J. Carton,,Unknown
1630658,Colin Castleton,TOR,Unknown
1642279,Ulrich Chomche,TOR,Unknown
1630528,Josh Christopher,MIA,Unknown
1641879,Yuri Collins,,Unknown
1641741,Ricky Council IV,PHI,Unknown
1628470,Torrey Craig,BOS,Unknown
203109,Jae Crowder,SAC,Unknown
1642385,Cui Cui,,Unknown
1642368,N'Faly Dante,HOU,Unknown
1631098,Johnny Davis,,Unknown
1629056,Terence Davis,SAC,Unknown
203915,Spencer Dinwiddie,DAL,Unknown
1630288,Jeff Dowtin Jr.,PHI,Unknown
1628408,PJ Dozier,,Unknown
1630537,Chris Duarte,,Unknown
1642505,Alex Ducas,OKC,Unknown
1630561,David Duke Jr.,SAS,Unknown
1642399,Jesse Edwards,MIN,Unknown
1630556,Kessler Edwards,DAL,Unknown
203957,Dante Exum,DAL,Unknown
1628981,Bruno Fernando,,Unknown
1641745,Adam Flagler,OKC,Unknown
1642280,Trentyn Flowers,LAC,Unknown
1630201,Malachi Flynn,,Unknown
1628365,Markelle Fultz,SAC,Unknown
1630585,Marcus Garrett,,Unknown
201569,Eric Gordon,PHI,Unknown
1641789,Jazian Gortman,,Unknown
1630169,Tyrese Haliburton,IND,Unknown
1626158,Richaun Holmes,WAS,Unknown
1641720,Jalen Hood-Schifino,PHI,Unknown
1629659,Talen Horton-Tucker,CHI,Unknown
202681,Kyrie Irving,DAL,Unknown
202704,Reggie Jackson,,Unknown
1629610,DaQuan Jeffries,CHA,Unknown
201949,James Johnson,IND,Unknown
1630553,Keon Johnson,BKN,Unknown
1641732,Colby Jones,WAS,Unknown
1630539,Kai Jones,DAL,Unknown
1630222,Mason Jones,SAC,Unknown
202709,Cory Joseph,ORL,Unknown
1630548,Johnny Juzang,UTA,Unknown
1630283,Kylor Kelley,,Unknown
1630296,Braxton Key,GSW,Unknown
1628995,Kevin Knox II,GSW,Unknown
1627814,Damion Lee,PHX,Unknown
203458,Alex Len,LAL,Unknown
1641721,Maxwell Lewis,BKN,Unknown
203081,Damian Lillard,MIL,Unknown
1641753,Chris Livingston,MIL,Unknown
1641754,Seth Lundy,LAC,Unknown
1626168,Trey Lyles,SAC,Unknown
1628998,Cody Martin,PHX,Unknown
1641798,Jaylen Martin,WAS,Unknown
1630231,KJ Martin,UTA,Unknown
1629726,Garrison Mathews,ATL,Unknown
1629667,Jalen McDaniels,,Unknown
1629098,Jack McVeigh,HOU,Unknown
203995,Vasilije Micic,PHX,Unknown
201988,Patty Mills,LAC,Unknown
1629003,Shake Milton,LAL,Unknown
1631303,Justin Minaya,POR,Unknown
1630600,Isaiah Mobley,,Unknown
1631386,Taze Moore,,Unknown
202693,Markieff Morris,LAL,Unknown
1628420,Monte Morris,PHX,Unknown
1641803,Tristen Newton,MIN,Unknown
1627777,Georges Niang,ATL,Unknown
1630227,Daishen Nix,,Unknown
1641936,Miles Norris,BOS,Unknown
1629669,Jaylen Nowell,,Unknown
1626143,Jahlil Okafor,,Unknown
1629643,Chuma Okeke,CLE,Unknown
1642439,Quincy Olivari,,Unknown
101108,Chris Paul,SAS,Unknown
203901,Elfrid Payton,NOP,Unknown
1641809,Drew Peterson,BOS,Unknown
1642389,Zyon Pullin,MEM,Unknown
1630243,Trevelin Queen,ORL,Unknown
1631311,Lester Quinones,NOP,Unknown
1641871,Duop Reath,POR,Unknown
1629629,Cam Reddish,,Unknown
1642024,Alex Reese,PHI,Unknown
1631197,Jared Rhoden,TOR,Unknown
1626196,Josh Richardson,,Unknown
1641857,Liam Robbins,,Unknown
1630526,Jeremiah Robinson-Earl,NOP,Unknown
1642050,Jackson Rowe,GSW,Unknown
1626179,Terry Rozier,MIA,Unknown
1630346,Matt Ryan,,Unknown
1641766,Adama Sanogo,,Unknown
203967,Dario Saric,DEN,Unknown
1627732,Ben Simmons,LAC,Unknown
1631301,Jaylen Sims,,Unknown
1630531,Jaden Springer,UTA,Unknown
1630205,Lamar Stevens,MEM,Unknown
1631306,Cole Swider,,Unknown
1630678,Terry Taylor,,Unknown
1628464,Daniel Theis,,Unknown
202684,Tristan Thompson,CLE,Unknown
1630550,JT Thor,WAS,Unknown
1631210,Jacob Toppin,ATL,Unknown
1642422,Armel Traore,,Unknown
1631247,Luke Travers,CLE,Unknown
200782,P.J. Tucker,NYK,Unknown
1641816,Hunter Tyson,DEN,Unknown
1630649,Stanley Umude,MIL,Unknown
1627832,Fred VanVleet,HOU,Unknown
1629022,Lonnie Walker IV,PHI,Unknown
1641817,Anton Watson,NYK,Unknown
1630762,Phillip Wheeler,,Unknown
1641727,Dariq Whitehead,BKN,Unknown
1631246,Vince Williams Jr.,MEM,Unknown
1631209,Isaiah Wong,,Unknown
1626153,Delon Wright,NYK,Unknown
1628427,Vlatko Čančar,DEN,Unknown
